NBa7we src,d4r55,RfnDt,rsqaWe,J7sVM,wiI7pd,NlVald,fontDisplayMedium,cleantext,label tranformers,score label,Tokenizing,WithoutStopwords,Stemming,kalimat,topic
https://lh3.googleusercontent.com/a-/ALV-UjW0Krpv_ajkSH_-GGoUQswPLB8Bq2S9OnTRqtTe3zlW1Fn6U3k=w45-h45-p-rp-mo-ba5-br100,Arumssi,Local Guide · 100 ulasan · 540 foto,2 minggu lalu,BARU,"pengen lagi kesanaaa. vibesnya sudah bukan indo lagi karena lebih banyak turis asing daripada turis lokal dan warga lokal. datang siang menjelang sore, sore bisa pinjam sepeda mengitari pulau. makin malam suasananya makin rameee. paginya …",Suka,,pengen lagi kesanaaa vibesnya sudah bukan indo lagi karena lebih banyak turis asing daripada turis lokal dan warga lokal datang siang menjelang sore sore bisa pinjam sepeda mengitari pulau makin malam suasananya makin rameee paginya,Positive,0.999100923538208,"['pengen', 'lagi', 'kesanaaa', 'vibesnya', 'sudah', 'bukan', 'indo', 'lagi', 'karena', 'lebih', 'banyak', 'turis', 'asing', 'daripada', 'turis', 'lokal', 'dan', 'warga', 'lokal', 'datang', 'siang', 'menjelang', 'sore', 'sore', 'bisa', 'pinjam', 'sepeda', 'mengitari', 'pulau', 'makin', 'malam', 'suasananya', 'makin', 'rameee', 'paginya']","['pengen', 'kesanaaa', 'vibesnya', 'indo', 'turis', 'asing', 'turis', 'lokal', 'warga', 'lokal', 'siang', 'menjelang', 'sore', 'sore', 'pinjam', 'sepeda', 'mengitari', 'pulau', 'malam', 'suasananya', 'rameee', 'paginya']","['ken', 'kesanaaa', 'vibesnya', 'indo', 'turis', 'asing', 'turis', 'lokal', 'warga', 'lokal', 'siang', 'jelang', 'sore', 'sore', 'pinjam', 'sepeda', 'kitar', 'pulau', 'malam', 'suasana', 'rameee', 'pagi']",ken kesanaaa vibesnya indo turis asing turis lokal warga lokal siang jelang sore sore pinjam sepeda kitar pulau malam suasana rameee pagi,0
https://lh3.googleusercontent.com/a-/ALV-UjWKw05G17zLnmh2a818G-97jmzbQxdslGObBeJ_JCa5sOQGsEA=w45-h45-p-rp-mo-ba5-br100,santika,Local Guide · 144 ulasan · 353 foto,sebulan lalu,,"Gili Trawangan adalah salah satu pulau yang cantik di Indonesia. Banyak permainan air yang juga bisa dilakukan di sini seperti snorkling atau diving.
Langit biru bertemu dengan air laut biru jernih, cantik banget!
Di Gili juga bisa sekedar sepedaan keliling2 dan menikmati pantainya aja...",Suka,2.0,gili trawangan adalah salah satu pulau yang cantik di indonesia banyak permainan air yang juga bisa dilakukan di sini seperti snorkling atau diving langit biru bertemu dengan air laut biru jernih cantik banget di gili juga bisa sekedar sepedaan keliling dan menikmati pantainya aja,Positive,0.999336302280426,"['gili', 'trawangan', 'adalah', 'salah', 'satu', 'pulau', 'yang', 'cantik', 'di', 'indonesia', 'banyak', 'permainan', 'air', 'yang', 'juga', 'bisa', 'dilakukan', 'di', 'sini', 'seperti', 'snorkling', 'atau', 'diving', 'langit', 'biru', 'bertemu', 'dengan', 'air', 'laut', 'biru', 'jernih', 'cantik', 'banget', 'di', 'gili', 'juga', 'bisa', 'sekedar', 'sepedaan', 'keliling', 'dan', 'menikmati', 'pantainya', 'aja']","['gili', 'trawangan', 'salah', 'pulau', 'cantik', 'indonesia', 'permainan', 'air', 'snorkling', 'diving', 'langit', 'biru', 'bertemu', 'air', 'laut', 'biru', 'jernih', 'cantik', 'banget', 'gili', 'sekedar', 'sepedaan', 'keliling', 'menikmati', 'pantainya']","['gili', 'trawangan', 'salah', 'pulau', 'cantik', 'indonesia', 'main', 'air', 'snorkling', 'diving', 'langit', 'biru', 'temu', 'air', 'laut', 'biru', 'jernih', 'cantik', 'banget', 'gili', 'dar', 'sepeda', 'keliling', 'nikmat', 'pantai']",gili trawangan salah pulau cantik indonesia main air snorkling diving langit biru temu air laut biru jernih cantik banget gili dar sepeda keliling nikmat pantai,1
https://lh3.googleusercontent.com/a-/ALV-UjXCoILiTjoMqM3um5OjGxHuAGI99SVWp8WporxTZ3xZFJajgM1IrA=w45-h45-p-rp-mo-ba6-br100,Aryani Sitio,Local Guide · 520 ulasan · 4.194 foto,seminggu lalu,BARU,"Ke sana ga semlat eksplore karena penuh sekali dengan wisatawan mancanegara yang aromanya bikin semaput haha
Next time semoga bisa ke sini di musim.yang tidak ramai orang..",Suka,7.0,ke sana ga semlat eksplore karena penuh sekali dengan wisatawan mancanegara yang aromanya bikin semaput haha next time semoga bisa ke sini di musim yang tidak ramai orang,Positive,0.9987836480140686,"['ke', 'sana', 'ga', 'semlat', 'eksplore', 'karena', 'penuh', 'sekali', 'dengan', 'wisatawan', 'mancanegara', 'yang', 'aromanya', 'bikin', 'semaput', 'haha', 'next', 'time', 'semoga', 'bisa', 'ke', 'sini', 'di', 'musim', 'yang', 'tidak', 'ramai', 'orang']","['ga', 'semlat', 'eksplore', 'penuh', 'wisatawan', 'mancanegara', 'aromanya', 'bikin', 'semaput', 'haha', 'next', 'time', 'semoga', 'musim', 'ramai', 'orang']","['ga', 'semlat', 'eksplore', 'penuh', 'wisatawan', 'mancanegara', 'aroma', 'bikin', 'semaput', 'haha', 'next', 'time', 'moga', 'musim', 'ramai', 'orang']",ga semlat eksplore penuh wisatawan mancanegara aroma bikin semaput haha next time moga musim ramai orang,0
https://lh3.googleusercontent.com/a-/ALV-UjVakNWfPghwQYqkJXvAV4oC4a5k3LW32v7wjIaRX2qepw0Ri-o=w45-h45-p-rp-mo-ba4-br100,alexander rama,Local Guide · 25 ulasan · 154 foto,2 bulan lalu,,"Pulau terbesar dari tiga gili di lepas pantai Lombok, terkenal dengan suasana bebas kendaraan bermotor, keindahan alam laut, dan banyaknya pilihan aktivitas wisata. Transportasi utama di pulau ini adalah sepeda dan cidomo (kereta kuda), dengan aktivitas populer seperti menyelam, snorkeling, dan menikmati matahari terbenam",Suka,4.0,pulau terbesar dari tiga gili di lepas pantai lombok terkenal dengan suasana bebas kendaraan bermotor keindahan alam laut dan banyaknya pilihan aktivitas wisata transportasi utama di pulau ini adalah sepeda dan cidomo kereta kuda dengan aktivitas populer seperti menyelam snorkeling dan menikmati matahari terbenam,Positive,0.9991437196731567,"['pulau', 'terbesar', 'dari', 'tiga', 'gili', 'di', 'lepas', 'pantai', 'lombok', 'terkenal', 'dengan', 'suasana', 'bebas', 'kendaraan', 'bermotor', 'keindahan', 'alam', 'laut', 'dan', 'banyaknya', 'pilihan', 'aktivitas', 'wisata', 'transportasi', 'utama', 'di', 'pulau', 'ini', 'adalah', 'sepeda', 'dan', 'cidomo', 'kereta', 'kuda', 'dengan', 'aktivitas', 'populer', 'seperti', 'menyelam', 'snorkeling', 'dan', 'menikmati', 'matahari', 'terbenam']","['pulau', 'terbesar', 'gili', 'lepas', 'pantai', 'lombok', 'terkenal', 'suasana', 'bebas', 'kendaraan', 'bermotor', 'keindahan', 'alam', 'laut', 'banyaknya', 'pilihan', 'aktivitas', 'wisata', 'transportasi', 'utama', 'pulau', 'sepeda', 'cidomo', 'kereta', 'kuda', 'aktivitas', 'populer', 'menyelam', 'snorkeling', 'menikmati', 'matahari', 'terbenam']","['pulau', 'besar', 'gili', 'lepas', 'pantai', 'lombok', 'kenal', 'suasana', 'bebas', 'kendara', 'motor', 'indah', 'alam', 'laut', 'banyak', 'pilih', 'aktivitas', 'wisata', 'transportasi', 'utama', 'pulau', 'sepeda', 'cidomo', 'kereta', 'kuda', 'aktivitas', 'populer', 'selam', 'snorkeling', 'nikmat', 'matahari', 'benam']",pulau besar gili lepas pantai lombok kenal suasana bebas kendara motor indah alam laut banyak pilih aktivitas wisata transportasi utama pulau sepeda cidomo kereta kuda aktivitas populer selam snorkeling nikmat matahari benam,1
https://lh3.googleusercontent.com/a-/ALV-UjWwoiBLR-4CsbHtL46cOQbIaIR7h69iCbu-_RzSZFC-S1qUxisCng=w45-h45-p-rp-mo-ba5-br100,Armon,Local Guide · 235 ulasan · 624 foto,2 bulan lalu,,"Gili T is truly a dream! The water is a beautiful turquoise and you can snorkel right from the beach. The coral is unique and I saw countless beautiful fish and turtles. The sunsets are also gorgeous! I rented a bike and it was great!
The island vibe is unbeatable – no stress, just sunsets, palm trees, and happy people.",Suka,7.0,gili t benar benar mimpi airnya berwarna biru kehijauan yang indah dan anda bisa snorkeling langsung dari pantai karangnya unik dan saya melihat banyak ikan dan kura kura cantik yang tak terhitung jumlahnya matahari terbenam juga indah saya menyewa sepeda dan sungguh luar biasa suasana pulau tidak ada duanya tanpa stres hanya matahari terbenam pohon pohon palem dan orang orang bahagia,Positive,0.9996880292892456,"['gili', 't', 'benar', 'benar', 'mimpi', 'airnya', 'berwarna', 'biru', 'kehijauan', 'yang', 'indah', 'dan', 'anda', 'bisa', 'snorkeling', 'langsung', 'dari', 'pantai', 'karangnya', 'unik', 'dan', 'saya', 'melihat', 'banyak', 'ikan', 'dan', 'kura', 'kura', 'cantik', 'yang', 'tak', 'terhitung', 'jumlahnya', 'matahari', 'terbenam', 'juga', 'indah', 'saya', 'menyewa', 'sepeda', 'dan', 'sungguh', 'luar', 'biasa', 'suasana', 'pulau', 'tidak', 'ada', 'duanya', 'tanpa', 'stres', 'hanya', 'matahari', 'terbenam', 'pohon', 'pohon', 'palem', 'dan', 'orang', 'orang', 'bahagia']","['gili', 't', 'mimpi', 'airnya', 'berwarna', 'biru', 'kehijauan', 'indah', 'snorkeling', 'langsung', 'pantai', 'karangnya', 'unik', 'ikan', 'kura', 'kura', 'cantik', 'terhitung', 'matahari', 'terbenam', 'indah', 'menyewa', 'sepeda', 'sungguh', 'suasana', 'pulau', 'duanya', 'stres', 'matahari', 'terbenam', 'pohon', 'pohon', 'palem', 'orang', 'orang', 'bahagia']","['gili', 't', 'mimpi', 'air', 'warna', 'biru', 'hijau', 'indah', 'snorkeling', 'langsung', 'pantai', 'karang', 'unik', 'ikan', 'kura', 'kura', 'cantik', 'hitung', 'matahari', 'benam', 'indah', 'sewa', 'sepeda', 'sungguh', 'suasana', 'pulau', 'dua', 'stres', 'matahari', 'benam', 'pohon', 'pohon', 'palem', 'orang', 'orang', 'bahagia']",gili t mimpi air warna biru hijau indah snorkeling langsung pantai karang unik ikan kura kura cantik hitung matahari benam indah sewa sepeda sungguh suasana pulau dua stres matahari benam pohon pohon palem orang orang bahagia,1
https://lh3.googleusercontent.com/a/ACg8ocLFQeYocVuOSY2m97gABFPJJoVgZnPUILUiffmmA5QbCzPw9Q=w45-h45-p-rp-mo-ba3-br100,Sanjana Gaikwad,Local Guide · 5 ulasan · 86 foto,sebulan lalu,,"Beautiful white-sand beaches, breathtaking sunsets, and crystal-clear waters perfect for snorkeling and scuba diving. The island feels safe, peaceful, and refreshingly slow-paced, with no motor vehicles—just cycles and horse carts. Friendly …",Suka,7.0,pantai pasir putih yang indah pemandangan matahari terbenam yang menakjubkan dan air yang jernih sempurna untuk snorkeling dan scuba diving pulau ini terasa aman damai dan menyegarkan berjalan lambat tanpa kendaraan bermotor hanya sepeda dan kereta kuda yang ramah,Positive,0.9996703863143921,"['pantai', 'pasir', 'putih', 'yang', 'indah', 'pemandangan', 'matahari', 'terbenam', 'yang', 'menakjubkan', 'dan', 'air', 'yang', 'jernih', 'sempurna', 'untuk', 'snorkeling', 'dan', 'scuba', 'diving', 'pulau', 'ini', 'terasa', 'aman', 'damai', 'dan', 'menyegarkan', 'berjalan', 'lambat', 'tanpa', 'kendaraan', 'bermotor', 'hanya', 'sepeda', 'dan', 'kereta', 'kuda', 'yang', 'ramah']","['pantai', 'pasir', 'putih', 'indah', 'pemandangan', 'matahari', 'terbenam', 'menakjubkan', 'air', 'jernih', 'sempurna', 'snorkeling', 'scuba', 'diving', 'pulau', 'aman', 'damai', 'menyegarkan', 'berjalan', 'lambat', 'kendaraan', 'bermotor', 'sepeda', 'kereta', 'kuda', 'ramah']","['pantai', 'pasir', 'putih', 'indah', 'pandang', 'matahari', 'benam', 'takjub', 'air', 'jernih', 'sempurna', 'snorkeling', 'scuba', 'diving', 'pulau', 'aman', 'damai', 'segar', 'jalan', 'lambat', 'kendara', 'motor', 'sepeda', 'kereta', 'kuda', 'ramah']",pantai pasir putih indah pandang matahari benam takjub air jernih sempurna snorkeling scuba diving pulau aman damai segar jalan lambat kendara motor sepeda kereta kuda ramah,1
https://lh3.googleusercontent.com/a-/ALV-UjWt9sk9BuVJMKT9-zHlHdw3wvoHts1Ntghu7cxHMPYXcb_UeJM=w45-h45-p-rp-mo-ba3-br100,Dwi Agung Nugroho,Local Guide · 14 ulasan · 71 foto,2 bulan lalu,,Pengalaman yang tak terlupakan pasirnya putih sejauh mata memandang mengitari pulau dengan sepeda listrik dengan sewa 250rb 24 jam night market aneka sajian seafood menggugah selera serta warung bu dewi masakan lokal dengan harga murah dan enak,Suka,3.0,pengalaman yang tak terlupakan pasirnya putih sejauh mata memandang mengitari pulau dengan sepeda listrik dengan sewa rb jam night market aneka sajian seafood menggugah selera serta warung bu dewi masakan lokal dengan harga murah dan enak,Positive,0.9996356964111328,"['pengalaman', 'yang', 'tak', 'terlupakan', 'pasirnya', 'putih', 'sejauh', 'mata', 'memandang', 'mengitari', 'pulau', 'dengan', 'sepeda', 'listrik', 'dengan', 'sewa', 'rb', 'jam', 'night', 'market', 'aneka', 'sajian', 'seafood', 'menggugah', 'selera', 'serta', 'warung', 'bu', 'dewi', 'masakan', 'lokal', 'dengan', 'harga', 'murah', 'dan', 'enak']","['pengalaman', 'terlupakan', 'pasirnya', 'putih', 'mata', 'memandang', 'mengitari', 'pulau', 'sepeda', 'listrik', 'sewa', 'rb', 'jam', 'night', 'market', 'aneka', 'sajian', 'seafood', 'menggugah', 'selera', 'warung', 'bu', 'dewi', 'masakan', 'lokal', 'harga', 'murah', 'enak']","['alam', 'lupa', 'pasir', 'putih', 'mata', 'pandang', 'kitar', 'pulau', 'sepeda', 'listrik', 'sewa', 'rb', 'jam', 'night', 'market', 'aneka', 'saji', 'seafood', 'gugah', 'selera', 'warung', 'bu', 'dewi', 'masakan', 'lokal', 'harga', 'murah', 'enak']",alam lupa pasir putih mata pandang kitar pulau sepeda listrik sewa rb jam night market aneka saji seafood gugah selera warung bu dewi masakan lokal harga murah enak,6
https://lh3.googleusercontent.com/a-/ALV-UjUmeSraNJ-KNZhBJH_gFgF8MHcf1l2ev5UFE3IUtWf5JCbroTjtrQ=w45-h45-p-rp-mo-ba4-br100,Choffeematcha,Local Guide · 34 ulasan · 346 foto,2 bulan lalu,,"Pulau yang indah tanpa polusi kendaraan bermotor dan mobil karena hanya ada sepeda biasa atau sepeda listrik dan kereta kuda.
Lautnya biru dengan gradasi dari warna tosca ke biru gelap dengan ombak dan view …",Suka,43.0,pulau yang indah tanpa polusi kendaraan bermotor dan mobil karena hanya ada sepeda biasa atau sepeda listrik dan kereta kuda lautnya biru dengan gradasi dari warna tosca ke biru gelap dengan ombak dan view,Positive,0.99959796667099,"['pulau', 'yang', 'indah', 'tanpa', 'polusi', 'kendaraan', 'bermotor', 'dan', 'mobil', 'karena', 'hanya', 'ada', 'sepeda', 'biasa', 'atau', 'sepeda', 'listrik', 'dan', 'kereta', 'kuda', 'lautnya', 'biru', 'dengan', 'gradasi', 'dari', 'warna', 'tosca', 'ke', 'biru', 'gelap', 'dengan', 'ombak', 'dan', 'view']","['pulau', 'indah', 'polusi', 'kendaraan', 'bermotor', 'mobil', 'sepeda', 'sepeda', 'listrik', 'kereta', 'kuda', 'lautnya', 'biru', 'gradasi', 'warna', 'tosca', 'biru', 'gelap', 'ombak', 'view']","['pulau', 'indah', 'polusi', 'kendara', 'motor', 'mobil', 'sepeda', 'sepeda', 'listrik', 'kereta', 'kuda', 'laut', 'biru', 'gradasi', 'warna', 'tosca', 'biru', 'gelap', 'ombak', 'view']",pulau indah polusi kendara motor mobil sepeda sepeda listrik kereta kuda laut biru gradasi warna tosca biru gelap ombak view,3
https://lh3.googleusercontent.com/a/ACg8ocI7Ok060qImGqB3Q_Z80TNsmGa9bB749vHbVQQvcheGzh2gcQ=w45-h45-p-rp-mo-ba3-br100,Torsten,Local Guide · 65 ulasan · 1 foto,2 bulan lalu,,"A beautiful island with great diving opportunities, but unfortunately it's all very commercialized.
Unfortunately, there are a lot of electric scooters driving around here now, and …",Suka,,sebuah pulau yang indah dengan peluang menyelam yang luar biasa tapi sayangnya semuanya sangat dikomersialkan sayangnya ada banyak skuter listrik yang berkeliling di sini sekarang dan,Positive,0.9959710240364075,"['sebuah', 'pulau', 'yang', 'indah', 'dengan', 'peluang', 'menyelam', 'yang', 'luar', 'biasa', 'tapi', 'sayangnya', 'semuanya', 'sangat', 'dikomersialkan', 'sayangnya', 'ada', 'banyak', 'skuter', 'listrik', 'yang', 'berkeliling', 'di', 'sini', 'sekarang', 'dan']","['pulau', 'indah', 'peluang', 'menyelam', 'sayangnya', 'dikomersialkan', 'sayangnya', 'skuter', 'listrik', 'berkeliling']","['pulau', 'indah', 'peluang', 'selam', 'sayang', 'komersial', 'sayang', 'skuter', 'listrik', 'keliling']",pulau indah peluang selam sayang komersial sayang skuter listrik keliling,0
https://lh3.googleusercontent.com/a-/ALV-UjVLTUCibbPI1FfuFnUA1OfV4sPQ4Y89N5M_EE9B1iTa6OuyjhBw=w45-h45-p-rp-mo-ba2-br100,Gracie Buggey,Local Guide · 11 ulasan · 54 foto,Diedit 2 bulan lalu,,"My four-day trip to Gili Trawangan was super informative. The island had so much to offer, like biking around, trying local food, and snorkeling – it was all awesome. The places I saw were seriously beautiful.",Suka,10.0,perjalanan empat hari saya ke gili trawangan sangat informatif pulau ini memiliki begitu banyak hal untuk ditawarkan seperti bersepeda berkeliling mencoba makanan lokal dan snorkeling semuanya luar biasa tempat yang saya lihat sangat indah,Positive,0.9997554421424866,"['perjalanan', 'empat', 'hari', 'saya', 'ke', 'gili', 'trawangan', 'sangat', 'informatif', 'pulau', 'ini', 'memiliki', 'begitu', 'banyak', 'hal', 'untuk', 'ditawarkan', 'seperti', 'bersepeda', 'berkeliling', 'mencoba', 'makanan', 'lokal', 'dan', 'snorkeling', 'semuanya', 'luar', 'biasa', 'tempat', 'yang', 'saya', 'lihat', 'sangat', 'indah']","['perjalanan', 'gili', 'trawangan', 'informatif', 'pulau', 'memiliki', 'ditawarkan', 'bersepeda', 'berkeliling', 'mencoba', 'makanan', 'lokal', 'snorkeling', 'lihat', 'indah']","['jalan', 'gili', 'trawangan', 'informatif', 'pulau', 'milik', 'tawar', 'sepeda', 'keliling', 'coba', 'makan', 'lokal', 'snorkeling', 'lihat', 'indah']",jalan gili trawangan informatif pulau milik tawar sepeda keliling coba makan lokal snorkeling lihat indah,1
